game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,regression_spread_pred,classification_spread_pred,classification_confidence,actual_spread,start_date,spread_result,regression_spread_result,classification_spread_result
401121948,2019,6,regular,South Alabama,Sun Belt,Georgia Southern,Sun Belt,9.5,0.0,1,0,0.50952876,3.0,2019-10-03 23:30:00+00:00,1,Won,Lost
401117874,2019,6,regular,East Carolina,American Athletic,Temple,American Athletic,12.0,-3.5,1,1,0.29309982,10.0,2019-10-04 00:00:00+00:00,1,Won,Won
401117875,2019,6,regular,Cincinnati,American Athletic,UCF,American Athletic,3.5,1.5,1,1,0.2964267,-3.0,2019-10-05 00:00:00+00:00,1,Won,Won
401117519,2019,6,regular,San José State,Mountain West,New Mexico,Mountain West,-7.0,-8.5,1,0,0.73060864,-11.0,2019-10-05 02:00:00+00:00,1,Won,Lost
401112269,2019,6,regular,Wisconsin,Big Ten,Kent State,Mid-American,-35.0,-35.0,1,1,0.3818419,-48.0,2019-10-05 16:00:00+00:00,1,Won,Won
401112205,2019,6,regular,Rutgers,Big Ten,Maryland,Big Ten,14.0,2.5,1,0,0.5782722,41.0,2019-10-05 16:00:00+00:00,0,Lost,Won
401112260,2019,6,regular,Penn State,Big Ten,Purdue,Big Ten,-28.5,-19.0,0,1,0.36286908,-28.0,2019-10-05 16:00:00+00:00,0,Won,Lost
401112194,2019,6,regular,Michigan,Big Ten,Iowa,Big Ten,-4.0,-10.0,1,1,0.24646395,-7.0,2019-10-05 16:00:00+00:00,1,Won,Won
401112126,2019,6,regular,Texas Tech,Big 12,Oklahoma State,Big 12,9.5,2.0,1,1,0.32848042,-10.0,2019-10-05 16:00:00+00:00,1,Won,Won
401114328,2019,6,regular,Army,FBS Independents,Tulane,American Athletic,2.0,-10.0,1,0,0.5538581,9.0,2019-10-05 16:00:00+00:00,0,Lost,Won
401117876,2019,6,regular,Connecticut,American Athletic,South Florida,American Athletic,11.0,6.0,1,1,0.43106169,26.0,2019-10-05 16:00:00+00:00,0,Lost,Lost
401110813,2019,6,regular,LSU,SEC,Utah State,Mountain West,-27.5,-24.5,0,0,0.60107875,-36.0,2019-10-05 16:00:00+00:00,1,Lost,Lost
401112101,2019,6,regular,Kansas,Big 12,Oklahoma,Big 12,32.5,16.5,1,0,0.7603319,25.0,2019-10-05 16:00:00+00:00,1,Won,Lost
401112473,2019,6,regular,Louisville,ACC,Boston College,ACC,-4.0,7.5,0,0,0.5043722,-2.0,2019-10-05 16:30:00+00:00,0,Won,Won
401112088,2019,6,regular,Iowa State,Big 12,TCU,Big 12,-3.0,-5.5,1,1,0.29320556,-25.0,2019-10-05 18:00:00+00:00,1,Won,Won
401119273,2019,6,regular,Central Michigan,Mid-American,Eastern Michigan,Mid-American,4.0,-1.5,1,1,0.3690682,-26.0,2019-10-05 19:00:00+00:00,1,Won,Won
401119274,2019,6,regular,Buffalo,Mid-American,Ohio,Mid-American,3.5,-4.5,1,1,0.33591694,1.0,2019-10-05 19:30:00+00:00,1,Won,Won
401112149,2019,6,regular,Minnesota,Big Ten,Illinois,Big Ten,-14.0,-3.5,0,0,0.65326107,-23.0,2019-10-05 19:30:00+00:00,1,Lost,Lost
401114275,2019,6,regular,Middle Tennessee,Conference USA,Marshall,Conference USA,4.5,0.5,1,1,0.29740697,-11.0,2019-10-05 19:30:00+00:00,1,Won,Won
