game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,regression_spread_pred,classification_spread_pred,classification_confidence,regression_spread_result,classification_spread_result,actual_spread,start_date,spread_result
401246275,2020,5,regular,BYU,FBS Independents,Louisiana Tech,Conference USA,-24.0,-7.5,0,0,0.7013131,,,0.0,2020-10-03 01:00:00+00:00,
401215304,2020,5,regular,Coastal Carolina,Sun Belt,Arkansas State,Sun Belt,3.0,5.5,0,0,0.6958567,,,0.0,2020-10-03 04:00:00+00:00,
401212547,2020,5,regular,Georgia State,Sun Belt,East Carolina,American Athletic,-1.0,6.5,0,0,0.6145312,,,0.0,2020-10-03 04:00:00+00:00,
401212486,2020,5,regular,SMU,American Athletic,Memphis,American Athletic,2.5,8.5,0,1,0.48398387,,,0.0,2020-10-03 04:00:00+00:00,
401236001,2020,5,regular,Kansas State,Big 12,Texas Tech,Big 12,-2.5,-2.0,0,0,0.505864,,,0.0,2020-10-03 04:00:00+00:00,
401235998,2020,5,regular,West Virginia,Big 12,Baylor,Big 12,3.0,-3.0,1,1,0.29308492,,,0.0,2020-10-03 04:00:00+00:00,
401234600,2020,5,regular,Pittsburgh,ACC,NC State,ACC,-14.0,-11.5,0,0,0.6439705,,,0.0,2020-10-03 04:00:00+00:00,
401234599,2020,5,regular,Duke,ACC,Virginia Tech,ACC,10.5,7.5,1,1,0.43264222,,,0.0,2020-10-03 04:00:00+00:00,
401215306,2020,5,regular,South Alabama,Sun Belt,Troy,Sun Belt,5.5,1.0,1,1,0.478589,,,0.0,2020-10-03 04:00:00+00:00,
401236002,2020,5,regular,Texas,Big 12,TCU,Big 12,-11.5,-23.5,1,1,0.455298,,,0.0,2020-10-03 04:00:00+00:00,
401212476,2020,5,regular,Cincinnati,American Athletic,South Florida,American Athletic,-22.0,-15.0,0,0,0.62876105,,,0.0,2020-10-03 04:00:00+00:00,
401234597,2020,5,regular,Boston College,ACC,North Carolina,ACC,14.0,7.0,1,1,0.32987797,,,0.0,2020-10-03 04:00:00+00:00,
401207136,2020,5,regular,Florida Atlantic,Conference USA,Charlotte,Conference USA,-6.5,-7.5,1,0,0.5011889,,,0.0,2020-10-03 04:00:00+00:00,
401235999,2020,5,regular,Iowa State,Big 12,Oklahoma,Big 12,7.0,9.0,0,0,0.74107194,,,0.0,2020-10-03 04:00:00+00:00,
401234598,2020,5,regular,Clemson,ACC,Virginia,ACC,-28.0,-25.5,0,0,0.5942082,,,0.0,2020-10-03 04:00:00+00:00,
401236000,2020,5,regular,Kansas,Big 12,Oklahoma State,Big 12,22.0,8.0,1,0,0.656342,,,0.0,2020-10-03 04:00:00+00:00,
401207138,2020,5,regular,Middle Tennessee,Conference USA,Western Kentucky,Conference USA,7.0,5.0,1,1,0.4825889,,,0.0,2020-10-03 04:00:00+00:00,
401212531,2020,5,regular,UCF,American Athletic,Tulsa,American Athletic,-21.5,-8.5,0,0,0.5592182,,,0.0,2020-10-03 04:00:00+00:00,
401237099,2020,5,regular,Tennessee,SEC,Missouri,SEC,-11.5,-12.0,1,0,0.57032955,,,0.0,2020-10-03 16:00:00+00:00,
401237096,2020,5,regular,Florida,SEC,South Carolina,SEC,-18.0,-12.0,0,0,0.6091019,,,0.0,2020-10-03 16:00:00+00:00,
401237093,2020,5,regular,Alabama,SEC,Texas A&M,SEC,-18.0,-14.5,0,0,0.61841094,,,0.0,2020-10-03 19:30:00+00:00,
401237097,2020,5,regular,Kentucky,SEC,Ole Miss,SEC,-6.0,-12.0,1,1,0.2849034,,,0.0,2020-10-03 20:00:00+00:00,
401212557,2020,5,regular,Air Force,Mountain West,Navy,American Athletic,7.0,-8.5,1,0,0.5304369,,,0.0,2020-10-03 22:00:00+00:00,
401215305,2020,5,regular,Louisiana Monroe,Sun Belt,Georgia Southern,Sun Belt,20.0,4.5,1,1,0.48374605,,,0.0,2020-10-03 23:00:00+00:00,
401237094,2020,5,regular,Mississippi State,SEC,Arkansas,SEC,-17.5,-9.5,0,0,0.55436444,,,0.0,2020-10-03 23:30:00+00:00,
401237098,2020,5,regular,Vanderbilt,SEC,LSU,SEC,21.0,16.5,1,1,0.27920955,,,0.0,2020-10-03 23:30:00+00:00,
401237095,2020,5,regular,Georgia,SEC,Auburn,SEC,-6.5,-2.0,0,0,0.5079359,,,0.0,2020-10-03 23:30:00+00:00,
401207139,2020,5,regular,North Texas,Conference USA,Southern Mississippi,Conference USA,-1.5,-0.5,0,1,0.47239602,,,0.0,2020-10-03 23:30:00+00:00,
